Description,Chat,Output
,,
Part 1: Writing a Synthesis Memo (Budget 2025 example),,
,,
Extract Budget Initiatives,https://claude.ai/share/a9453aec-79e1-4bb8-a244-c7c9dff052d5,https://claude.ai/public/artifacts/b2f15ad5-0fda-49fb-a3b1-cf918f0aaef8
Conduct Media & Stakeholder scan,https://gemini.google.com/share/1f9039ad51ca,https://docs.google.com/document/d/1cPRbp3oeI-QTctMVzrjaasX6Az3CGWKUwMKHyjc17uw/edit?usp=sharing
Generate rough outline,https://claude.ai/share/1c2abd44-bf7a-4b6b-a852-814375e45908,https://claude.ai/public/artifacts/7da4c5b3-e6fe-4de9-8c1d-65d85cd75768
Generate annotated outline,https://claude.ai/share/c79954a6-a6a5-49f0-95ec-37a103fc441e,https://claude.ai/public/artifacts/dfaacde5-8067-404f-907b-16cf0040bf05
Generate a rough draft of memo: Claude,https://claude.ai/share/307b6b0f-2a05-4de8-9b19-a036d997b454,https://claude.ai/public/artifacts/a86d4ab2-598d-4236-b77f-f61c89aeff7b
Generate a rough draft of memo: ChatGPT,https://chatgpt.com/share/69f9efae-5b08-83ea-aafb-047832683201,https://chatgpt.com/canvas/shared/69f9efe1b1208191860fcf4c25ec2787
Generate a rough draft of memo: Gemini,https://gemini.google.com/share/ea1485e7a57e,https://gemini.google.com/share/78f1301e3fe4
Generate final draft of memo,,Do this in a word processor!
,,
Part 2: Generating Additional Documents (Extending the memo),,
,,
Creating a Style Guide,https://chatgpt.com/share/69f9f088-0470-83ea-afa6-98ad60feadd8,https://chatgpt.com/canvas/shared/69f9f21cc7948191a360dd60903bffe1
Blog Post,https://claude.ai/share/9b6d32dc-ca47-41e3-ab73-27ffecd95735,https://claude.ai/public/artifacts/2cb1a7e6-547a-4630-af2a-eb39ec5324a9
Social Media Posts,https://chatgpt.com/share/69f9f90b-a970-83ea-a064-d186331ee8e1,
Creating a Claude Skill (The Economist),https://claude.ai/share/01171078-5c5f-4c65-bb76-0b690cbf6423,
Article for The Economist,https://claude.ai/share/834d8074-ff5b-4b82-8ea6-ad86e0e49d53,https://claude.ai/public/artifacts/089ad074-850b-4827-b7be-3f6454d3a20b
Slide Deck?,https://www.perplexity.ai/search/3dc12b68-e48d-4110-8de4-d4bdd823874d?preview=1,
